Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year_month
2005-04-01,0:00:00,1.3,,,,,193.0,,117.0,,,,,,2005-04
2005-04-01,1:00:00,1.2,,,,,167.0,,104.0,,,,,,2005-04
2005-04-01,2:00:00,1.3,,,,,159.0,,97.0,,,,,,2005-04
2005-04-01,3:00:00,0.8,,,,,,,,,,,,,2005-04
2005-04-01,4:00:00,0.6,,,,,89.0,,72.0,,,,,,2005-04
2005-04-01,5:00:00,0.8,,,,,97.0,,71.0,,,,,,2005-04
2005-04-01,6:00:00,0.9,,,,,182.0,,94.0,,,,,,2005-04
2005-04-01,7:00:00,1.1,,,,,262.0,,118.0,,,,,,2005-04
2005-04-01,8:00:00,3.4,,,,,561.0,,174.0,,,,,,2005-04
2005-04-01,9:00:00,3.6,,,,,540.0,,170.0,,,,,,2005-04
2005-04-01,10:00:00,3.1,,,,,480.0,,171.0,,,,,,2005-04
2005-04-01,11:00:00,3.3,,,,,608.0,,196.0,,,,,,2005-04
2005-04-01,12:00:00,3.4,,,,,584.0,,191.0,,,,,,2005-04
2005-04-01,13:00:00,2.8,,,,,426.0,,165.0,,,,,,2005-04
2005-04-01,14:00:00,2.6,,,,,397.0,,148.0,,,,,,2005-04
2005-04-01,15:00:00,3.0,,,,,473.0,,172.0,,,,,,2005-04
2005-04-01,16:00:00,2.9,,,,,369.0,,165.0,,,,,,2005-04
2005-04-01,17:00:00,3.8,,,,,532.0,,184.0,,,,,,2005-04
2005-04-01,18:00:00,3.8,,,,,498.0,,173.0,,,,,,2005-04
2005-04-01,19:00:00,3.6,,,,,487.0,,174.0,,,,,,2005-04
2005-04-01,20:00:00,4.5,,,,,629.0,,181.0,,,,,,2005-04
2005-04-01,21:00:00,3.7,,,,,502.0,,166.0,,,,,,2005-04
2005-04-01,22:00:00,2.4,,,,,381.0,,150.0,,,,,,2005-04
2005-04-01,23:00:00,1.7,,,,,250.0,,131.0,,,,,,2005-04
2005-04-02,0:00:00,1.2,1083,,6.4,828,235.0,734,161.0,1067,1273,6.0,62.7,0.589,2005-04
2005-04-02,1:00:00,1.2,1055,,5.1,771,217.0,781,147.0,1030,1174,5.1,65.4,0.5797,2005-04
2005-04-02,2:00:00,0.7,973,,3.3,672,141.0,887,111.0,954,1031,4.7,64.6,0.5568,2005-04
2005-04-02,3:00:00,0.9,1039,,5.3,777,,778,,1031,1082,2.9,72.2,0.5523,2005-04
2005-04-02,4:00:00,0.8,949,,3.1,657,158.0,895,115.0,948,991,5.0,63.5,0.5575,2005-04
2005-04-02,5:00:00,0.4,920,,2.2,601,87.0,974,80.0,920,925,3.9,65.5,0.5367,2005-04
2005-04-02,6:00:00,0.7,989,,3.9,703,194.0,843,122.0,988,1017,1.8,74.5,0.5271,2005-04
2005-04-02,7:00:00,1.4,1100,,6.9,854,401.0,714,186.0,1075,1187,1.8,73.7,0.5198,2005-04
2005-04-02,8:00:00,4.0,1411,,19.7,1288,887.0,492,306.0,1472,1638,2.3,70.9,0.5182,2005-04
2005-04-02,9:00:00,3.9,1328,,20.1,1300,654.0,499,301.0,1405,1672,4.4,61.1,0.5176,2005-04
2005-04-02,10:00:00,3.1,1308,,16.3,1189,566.0,534,274.0,1325,1656,7.7,49.8,0.5267,2005-04
2005-04-02,11:00:00,3.2,1280,,14.3,1127,649.0,558,247.0,1277,1641,12.1,36.9,0.5212,2005-04
2005-04-02,12:00:00,1.5,1056,,7.0,857,309.0,735,169.0,1028,1117,15.0,28.5,0.4821,2005-04
2005-04-02,13:00:00,1.2,1019,,6.3,825,229.0,781,138.0,994,901,14.5,28.3,0.4665,2005-04
2005-04-02,14:00:00,1.9,1084,,8.6,923,312.0,712,149.0,1085,1046,12.9,31.8,0.4707,2005-04
2005-04-02,15:00:00,1.5,998,,6.6,841,276.0,792,165.0,979,884,12.1,32.3,0.4548,2005-04
2005-04-02,16:00:00,1.4,987,,6.1,816,236.0,816,156.0,959,821,11.3,33.5,0.4476,2005-04
