Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year_month
2004-01-04,0:00:00,1.6,1143.0,106.0,6.3,825.0,96.0,986.0,86.0,1477.0,978.0,12.0,61.6,0.8593,2004-01
2004-01-04,1:00:00,1.2,1044.0,100.0,5.1,770.0,85.0,1031.0,70.0,1425.0,944.0,11.5,63.9,0.8652,2004-01
2004-01-04,2:00:00,1.1,1034.0,71.0,4.1,716.0,50.0,1085.0,55.0,1405.0,891.0,10.7,67.2,0.863,2004-01
2004-01-04,3:00:00,0.9,956.0,72.0,4.0,713.0,,1099.0,,1422.0,849.0,9.0,73.1,0.8394,2004-01
2004-01-04,4:00:00,0.7,909.0,44.0,2.4,615.0,57.0,1237.0,49.0,1322.0,790.0,10.2,66.6,0.8299,2004-01
2004-01-04,5:00:00,0.9,996.0,45.0,2.9,648.0,64.0,1176.0,50.0,1340.0,852.0,11.0,63.7,0.8325,2004-01
2004-01-04,6:00:00,1.7,1154.0,134.0,7.4,876.0,153.0,1002.0,67.0,1561.0,987.0,9.6,68.8,0.8243,2004-01
2004-01-04,7:00:00,4.2,1510.0,505.0,19.8,1291.0,342.0,675.0,94.0,1949.0,1435.0,9.5,69.6,0.8273,2004-01
2004-01-04,8:00:00,6.2,1722.0,1042.0,31.9,1595.0,378.0,539.0,119.0,2439.0,1798.0,11.9,60.9,0.8455,2004-01
2004-01-04,9:00:00,4.6,1512.0,737.0,21.0,1323.0,304.0,631.0,139.0,2001.0,1677.0,16.2,48.6,0.8892,2004-01
2004-01-04,10:00:00,2.8,1258.0,375.0,11.7,1040.0,192.0,800.0,113.0,1701.0,1282.0,19.2,39.6,0.8693,2004-01
2004-01-04,11:00:00,1.6,1094.0,124.0,6.8,850.0,130.0,970.0,88.0,1489.0,871.0,19.7,38.4,0.8743,2004-01
2004-01-04,12:00:00,1.7,1129.0,137.0,7.4,875.0,106.0,974.0,73.0,1524.0,759.0,20.6,36.7,0.8797,2004-01
2004-01-04,13:00:00,1.7,1125.0,179.0,8.6,924.0,102.0,937.0,73.0,1542.0,790.0,21.8,33.9,0.8771,2004-01
2004-01-04,14:00:00,1.7,,222.0,,,99.0,,72.0,,,,,,2004-01
2004-01-04,15:00:00,1.9,,197.0,,,108.0,,81.0,,,,,,2004-01
2004-01-04,16:00:00,2.3,,319.0,,,131.0,,93.0,,,,,,2004-01
2004-01-04,17:00:00,3.3,1308.0,388.0,16.4,1193.0,163.0,793.0,106.0,1193.0,1187.0,23.6,27.5,0.7913,2004-01
2004-01-04,18:00:00,4.2,1529.0,589.0,21.2,1331.0,211.0,700.0,132.0,2028.0,1399.0,22.8,32.1,0.8814,2004-01
2004-01-04,19:00:00,5.5,1592.0,840.0,25.0,1429.0,267.0,624.0,164.0,2089.0,1644.0,20.8,36.7,0.8878,2004-01
2004-01-04,20:00:00,4.9,1536.0,655.0,20.2,1302.0,269.0,666.0,161.0,1922.0,1599.0,18.3,40.9,0.8493,2004-01
2004-01-04,21:00:00,2.5,1192.0,254.0,10.8,1007.0,154.0,827.0,124.0,1604.0,1223.0,16.8,44.0,0.8341,2004-01
2004-01-04,22:00:00,2.0,1186.0,188.0,9.9,976.0,127.0,844.0,113.0,1570.0,1200.0,15.8,48.0,0.8569,2004-01
2004-01-04,23:00:00,2.0,1203.0,120.0,8.5,920.0,122.0,898.0,103.0,1529.0,1118.0,14.9,52.0,0.8757,2004-01
2004-01-05,0:00:00,3.5,1425,275.0,15.2,1155,185.0,709,110.0,1936,1789,17.8,66.8,1.346,2004-01
2004-01-05,1:00:00,2.4,1179,,9.3,951,129.0,826,84.0,1724,1323,17.3,68.3,1.3346,2004-01
2004-01-05,2:00:00,1.6,1047,,6.5,833,85.0,939,71.0,1647,1081,16.5,70.2,1.3099,2004-01
2004-01-05,3:00:00,1.3,1009,,6.3,825,,950,,1629,938,15.7,73.1,1.2902,2004-01
2004-01-05,4:00:00,,882,,3.5,685,35.0,1134,42.0,1492,673,16.2,69.9,1.2756,2004-01
2004-01-05,5:00:00,0.6,858,,2.6,624,24.0,1205,32.0,1434,543,16.7,67.1,1.2619,2004-01
2004-01-05,6:00:00,0.7,875,,3.1,659,30.0,1180,35.0,1452,561,16.7,66.9,1.2631,2004-01
2004-01-05,7:00:00,1.2,1012,,6.5,833,75.0,916,67.0,1632,862,16.9,66.5,1.2688,2004-01
2004-01-05,8:00:00,1.5,1049,,6.5,836,79.0,926,73.0,1615,901,17.7,62.0,1.2458,2004-01
2004-01-05,9:00:00,1.8,1131,,8.8,932,104.0,854,86.0,1693,1048,19.4,54.6,1.2184,2004-01
2004-01-05,10:00:00,2.1,1120,,8.8,931,118.0,886,89.0,1652,971,21.6,46.1,1.1725,2004-01
2004-01-05,11:00:00,1.9,1117,,9.2,946,105.0,909,86.0,1657,915,24.6,36.7,1.1202,2004-01
2004-01-05,12:00:00,2.0,1110,,9.2,948,101.0,901,86.0,1632,891,26.0,31.9,1.0566,2004-01
2004-01-05,13:00:00,1.3,962,,6.1,816,65.0,1044,66.0,1489,628,25.6,31.5,1.0184,2004-01
2004-01-05,14:00:00,1.3,963,,6.5,835,59.0,1029,68.0,1495,556,24.8,34.8,1.0716,2004-01
2004-01-05,15:00:00,1.8,1050,,9.2,948,80.0,928,82.0,1584,652,26.1,30.3,1.0101,2004-01
2004-01-05,16:00:00,2.0,1053,,8.3,911,98.0,949,91.0,1603,683,25.5,33.5,1.0767,2004-01
2004-01-05,17:00:00,1.8,1045,,8.3,910,89.0,948,95.0,1598,624,23.7,37.2,1.0746,2004-01
2004-01-05,18:00:00,2.4,1124,,11.0,1013,114.0,849,104.0,1676,733,22.3,38.9,1.0324,2004-01
2004-01-05,19:00:00,4.0,1330,,14.7,1140,195.0,759,131.0,1780,1062,20.7,42.8,1.0298,2004-01
2004-01-05,20:00:00,2.8,1171,,10.8,1006,156.0,835,112.0,1674,988,19.0,51.7,1.1222,2004-01
2004-01-05,21:00:00,2.0,1085,,9.4,954,109.0,866,100.0,1656,871,17.8,55.5,1.1174,2004-01
2004-01-05,22:00:00,3.6,1358,,14.8,1144,184.0,727,115.0,1851,1243,17.4,57.6,1.1342,2004-01
2004-01-05,23:00:00,3.7,1385,,13.3,1094,190.0,765,129.0,1769,1175,17.6,58.5,1.1645,2004-01
2004-01-04,0:00:00,1.6,1143.0,106.0,6.3,825.0,96.0,986.0,86.0,1477.0,978.0,12.0,61.6,0.8593,2004-01
2004-01-04,1:00:00,1.2,1044.0,100.0,5.1,770.0,85.0,1031.0,70.0,1425.0,944.0,11.5,63.9,0.8652,2004-01
2004-01-04,2:00:00,1.1,1034.0,71.0,4.1,716.0,50.0,1085.0,55.0,1405.0,891.0,10.7,67.2,0.863,2004-01
2004-01-04,3:00:00,0.9,956.0,72.0,4.0,713.0,,1099.0,,1422.0,849.0,9.0,73.1,0.8394,2004-01
2004-01-04,4:00:00,0.7,909.0,44.0,2.4,615.0,57.0,1237.0,49.0,1322.0,790.0,10.2,66.6,0.8299,2004-01
2004-01-04,5:00:00,0.9,996.0,45.0,2.9,648.0,64.0,1176.0,50.0,1340.0,852.0,11.0,63.7,0.8325,2004-01
2004-01-04,6:00:00,1.7,1154.0,134.0,7.4,876.0,153.0,1002.0,67.0,1561.0,987.0,9.6,68.8,0.8243,2004-01
2004-01-04,7:00:00,4.2,1510.0,505.0,19.8,1291.0,342.0,675.0,94.0,1949.0,1435.0,9.5,69.6,0.8273,2004-01
2004-01-04,8:00:00,6.2,1722.0,1042.0,31.9,1595.0,378.0,539.0,119.0,2439.0,1798.0,11.9,60.9,0.8455,2004-01
2004-01-04,9:00:00,4.6,1512.0,737.0,21.0,1323.0,304.0,631.0,139.0,2001.0,1677.0,16.2,48.6,0.8892,2004-01
2004-01-04,10:00:00,2.8,1258.0,375.0,11.7,1040.0,192.0,800.0,113.0,1701.0,1282.0,19.2,39.6,0.8693,2004-01
2004-01-04,11:00:00,1.6,1094.0,124.0,6.8,850.0,130.0,970.0,88.0,1489.0,871.0,19.7,38.4,0.8743,2004-01
2004-01-04,12:00:00,1.7,1129.0,137.0,7.4,875.0,106.0,974.0,73.0,1524.0,759.0,20.6,36.7,0.8797,2004-01
2004-01-04,13:00:00,1.7,1125.0,179.0,8.6,924.0,102.0,937.0,73.0,1542.0,790.0,21.8,33.9,0.8771,2004-01
2004-01-04,14:00:00,1.7,,222.0,,,99.0,,72.0,,,,,,2004-01
2004-01-04,15:00:00,1.9,,197.0,,,108.0,,81.0,,,,,,2004-01
2004-01-04,16:00:00,2.3,,319.0,,,131.0,,93.0,,,,,,2004-01
2004-01-04,17:00:00,3.3,1308.0,388.0,16.4,1193.0,163.0,793.0,106.0,1193.0,1187.0,23.6,27.5,0.7913,2004-01
2004-01-04,18:00:00,4.2,1529.0,589.0,21.2,1331.0,211.0,700.0,132.0,2028.0,1399.0,22.8,32.1,0.8814,2004-01
2004-01-04,19:00:00,5.5,1592.0,840.0,25.0,1429.0,267.0,624.0,164.0,2089.0,1644.0,20.8,36.7,0.8878,2004-01
2004-01-04,20:00:00,4.9,1536.0,655.0,20.2,1302.0,269.0,666.0,161.0,1922.0,1599.0,18.3,40.9,0.8493,2004-01
2004-01-04,21:00:00,2.5,1192.0,254.0,10.8,1007.0,154.0,827.0,124.0,1604.0,1223.0,16.8,44.0,0.8341,2004-01
2004-01-04,22:00:00,2.0,1186.0,188.0,9.9,976.0,127.0,844.0,113.0,1570.0,1200.0,15.8,48.0,0.8569,2004-01
2004-01-04,23:00:00,2.0,1203.0,120.0,8.5,920.0,122.0,898.0,103.0,1529.0,1118.0,14.9,52.0,0.8757,2004-01
2004-01-05,0:00:00,3.5,1425,275.0,15.2,1155,185.0,709,110.0,1936,1789,17.8,66.8,1.346,2004-01
2004-01-05,1:00:00,2.4,1179,,9.3,951,129.0,826,84.0,1724,1323,17.3,68.3,1.3346,2004-01
2004-01-05,2:00:00,1.6,1047,,6.5,833,85.0,939,71.0,1647,1081,16.5,70.2,1.3099,2004-01
2004-01-05,3:00:00,1.3,1009,,6.3,825,,950,,1629,938,15.7,73.1,1.2902,2004-01
2004-01-05,4:00:00,,882,,3.5,685,35.0,1134,42.0,1492,673,16.2,69.9,1.2756,2004-01
2004-01-05,5:00:00,0.6,858,,2.6,624,24.0,1205,32.0,1434,543,16.7,67.1,1.2619,2004-01
2004-01-05,6:00:00,0.7,875,,3.1,659,30.0,1180,35.0,1452,561,16.7,66.9,1.2631,2004-01
2004-01-05,7:00:00,1.2,1012,,6.5,833,75.0,916,67.0,1632,862,16.9,66.5,1.2688,2004-01
2004-01-05,8:00:00,1.5,1049,,6.5,836,79.0,926,73.0,1615,901,17.7,62.0,1.2458,2004-01
2004-01-05,9:00:00,1.8,1131,,8.8,932,104.0,854,86.0,1693,1048,19.4,54.6,1.2184,2004-01
2004-01-05,10:00:00,2.1,1120,,8.8,931,118.0,886,89.0,1652,971,21.6,46.1,1.1725,2004-01
2004-01-05,11:00:00,1.9,1117,,9.2,946,105.0,909,86.0,1657,915,24.6,36.7,1.1202,2004-01
2004-01-05,12:00:00,2.0,1110,,9.2,948,101.0,901,86.0,1632,891,26.0,31.9,1.0566,2004-01
2004-01-05,13:00:00,1.3,962,,6.1,816,65.0,1044,66.0,1489,628,25.6,31.5,1.0184,2004-01
2004-01-05,14:00:00,1.3,963,,6.5,835,59.0,1029,68.0,1495,556,24.8,34.8,1.0716,2004-01
2004-01-05,15:00:00,1.8,1050,,9.2,948,80.0,928,82.0,1584,652,26.1,30.3,1.0101,2004-01
2004-01-05,16:00:00,2.0,1053,,8.3,911,98.0,949,91.0,1603,683,25.5,33.5,1.0767,2004-01
2004-01-05,17:00:00,1.8,1045,,8.3,910,89.0,948,95.0,1598,624,23.7,37.2,1.0746,2004-01
2004-01-05,18:00:00,2.4,1124,,11.0,1013,114.0,849,104.0,1676,733,22.3,38.9,1.0324,2004-01
2004-01-05,19:00:00,4.0,1330,,14.7,1140,195.0,759,131.0,1780,1062,20.7,42.8,1.0298,2004-01
2004-01-05,20:00:00,2.8,1171,,10.8,1006,156.0,835,112.0,1674,988,19.0,51.7,1.1222,2004-01
2004-01-05,21:00:00,2.0,1085,,9.4,954,109.0,866,100.0,1656,871,17.8,55.5,1.1174,2004-01
2004-01-05,22:00:00,3.6,1358,,14.8,1144,184.0,727,115.0,1851,1243,17.4,57.6,1.1342,2004-01
2004-01-05,23:00:00,3.7,1385,,13.3,1094,190.0,765,129.0,1769,1175,17.6,58.5,1.1645,2004-01
2004-01-06,0:00:00,0.3,922,,4.7,750,46.0,1085,45.0,1585,685,18.6,75.7,1.6074,2004-01
2004-01-06,1:00:00,,830,,2.9,644,17.0,1235,23.0,1487,524,19.6,68.4,1.5443,2004-01
2004-01-06,2:00:00,,805,,2.0,583,18.0,1339,26.0,1494,527,18.0,76.4,1.5608,2004-01
2004-01-06,3:00:00,,760,,1.1,505,,1527,,1413,452,17.3,77.2,1.5104,2004-01
2004-01-06,4:00:00,,783,,1.3,529,16.0,1437,24.0,1435,466,16.5,82.3,1.5318,2004-01
2004-01-06,5:00:00,0.1,854,,2.4,613,39.0,1272,41.0,1515,565,16.8,81.3,1.5452,2004-01
2004-01-06,6:00:00,0.3,985,,6.1,816,107.0,987,65.0,1677,799,17.3,78.6,1.5412,2004-01
2004-01-06,7:00:00,1.4,1225,,12.5,1067,190.0,760,94.0,1922,1102,16.9,80.9,1.5472,2004-01
2004-01-06,8:00:00,2.7,1313,,19.5,1283,236.0,671,100.0,2180,1299,17.1,79.8,1.542,2004-01
2004-01-06,9:00:00,2.3,1199,,15.2,1156,227.0,758,103.0,1958,1272,18.5,70.3,1.4826,2004-01
2004-01-06,10:00:00,1.8,1182,,12.0,1051,211.0,829,89.0,1870,1206,19.6,66.7,1.5023,2004-01
2004-01-06,11:00:00,1.6,1173,,12.4,1063,201.0,814,86.0,1905,1218,20.4,63.1,1.4969,2004-01
2004-01-06,12:00:00,1.9,1259,,15.9,1178,191.0,722,89.0,2060,1367,21.6,61.8,1.5775,2004-01
2004-01-06,13:00:00,2.5,1263,,15.7,1171,192.0,759,88.0,2029,1290,24.0,49.3,1.4509,2004-01
2004-01-06,14:00:00,1.6,1156,,13.5,1100,143.0,800,73.0,1884,1175,25.7,43.8,1.4262,2004-01
2004-01-06,15:00:00,1.5,1167,,12.4,1065,148.0,808,78.0,1886,1139,24.6,47.5,1.4487,2004-01
2004-01-06,16:00:00,2.5,1278,,17.1,1213,183.0,733,95.0,2041,1293,24.8,47.4,1.4628,2004-01
2004-01-06,17:00:00,3.6,1342,,22.0,1351,216.0,657,109.0,2201,1419,23.7,50.5,1.4636,2004-01
2004-01-06,18:00:00,3.5,1353,,19.9,1292,184.0,683,95.0,2178,1326,23.0,53.8,1.4968,2004-01
2004-01-06,19:00:00,4.8,1501,,27.9,1501,248.0,588,101.0,2486,1517,21.5,65.8,1.6688,2004-01
2004-01-06,20:00:00,3.7,1355,,19.7,1289,221.0,678,88.0,2158,1391,21.0,66.9,1.6436,2004-01
2004-01-06,21:00:00,2.1,1230,,15.7,1169,159.0,737,77.0,2020,1275,20.6,68.1,1.6329,2004-01
2004-01-06,22:00:00,1.6,1148,,12.0,1048,136.0,822,75.0,1883,1168,20.5,66.9,1.5914,2004-01
2004-01-06,23:00:00,2.2,1171,,13.1,1088,168.0,822,81.0,1889,1132,20.2,65.2,1.5251,2004-01
2004-01-07,0:00:00,2.3,1109,,12.9,1080,111.0,696,102.0,1874,1190,27.1,47.4,1.6701,2004-01
2004-01-07,1:00:00,1.5,1032,,9.9,974,66.0,763,77.0,1800,982,26.2,49.4,1.6555,2004-01
2004-01-07,2:00:00,0.9,893,,5.1,767,36.0,918,50.0,1607,805,26.9,49.3,1.7196,2004-01
2004-01-07,3:00:00,0.6,848,,2.8,642,,1079,,1536,654,26.3,50.8,1.7058,2004-01
2004-01-07,4:00:00,0.6,850,,3.2,664,31.0,1038,40.0,1568,727,24.9,54.6,1.6908,2004-01
2004-01-07,5:00:00,0.8,938,,5.4,782,75.0,879,66.0,1685,1001,23.4,58.6,1.6651,2004-01
2004-01-07,6:00:00,0.9,948,,6.4,828,66.0,858,60.0,1711,994,24.4,55.2,1.6604,2004-01
2004-01-07,7:00:00,2.4,1225,,17.1,1214,154.0,625,85.0,2090,1322,25.1,54.3,1.7057,2004-01
2004-01-07,8:00:00,3.9,1380,,22.3,1359,239.0,538,120.0,2337,1617,26.6,51.2,1.7565,2004-01
2004-01-07,9:00:00,2.9,1276,,14.6,1138,246.0,628,134.0,2021,1430,28.2,47.1,1.7752,2004-01
2004-01-07,10:00:00,2.7,1246,,13.3,1093,261.0,667,149.0,1942,1357,31.6,39.4,1.7969,2004-01
2004-01-07,11:00:00,2.0,1141,,10.5,996,179.0,767,125.0,1805,994,34.2,31.8,1.6837,2004-01
2004-01-07,12:00:00,2.4,1199,,14.2,1124,159.0,680,132.0,1940,1054,36.6,27.1,1.6352,2004-01
2004-01-07,13:00:00,2.0,1156,,12.2,1056,111.0,710,114.0,1842,945,37.6,26.9,1.715,2004-01
2004-01-07,14:00:00,1.8,1158,,10.1,983,101.0,751,110.0,1803,808,38.1,26.3,1.7213,2004-01
2004-01-07,15:00:00,1.9,1163,,11.7,1039,118.0,723,121.0,1814,888,37.8,26.9,1.7392,2004-01
2004-01-07,16:00:00,1.8,1078,,10.9,1009,120.0,767,127.0,1730,787,37.8,22.7,1.4653,2004-01
2004-01-07,17:00:00,2.9,1244,,17.3,1219,177.0,651,157.0,1949,1077,36.9,24.7,1.5134,2004-01
2004-01-07,18:00:00,3.3,1236,,18.0,1239,186.0,637,169.0,1986,1106,34.5,28.5,1.531,2004-01
2004-01-07,19:00:00,4.4,1364,,22.9,1376,235.0,580,179.0,2168,1356,32.5,30.9,1.4875,2004-01
2004-01-07,20:00:00,3.4,1193,,16.5,1196,195.0,675,149.0,1888,1152,30.9,30.4,1.338,2004-01
2004-01-07,21:00:00,1.9,1078,,10.2,985,106.0,778,111.0,1697,925,28.7,34.7,1.3457,2004-01
2004-01-07,22:00:00,2.1,1140,,11.6,1035,107.0,726,112.0,1779,1059,27.7,39.3,1.4372,2004-01
2004-01-07,23:00:00,2.5,1239,,14.3,1127,134.0,648,120.0,1930,1201,26.8,45.1,1.5645,2004-01
2004-01-08,0:00:00,2.0,1104.0,,11.2,1020.0,106.0,681.0,82.0,1771.0,1086.0,26.6,47.5,1.6265,2004-01
2004-01-08,1:00:00,1.8,1065.0,,9.8,970.0,77.0,698.0,70.0,1724.0,1049.0,25.7,50.7,1.6491,2004-01
2004-01-08,2:00:00,0.9,971.0,,6.2,821.0,28.0,820.0,40.0,1637.0,811.0,25.1,53.9,1.689,2004-01
2004-01-08,3:00:00,0.5,891.0,,3.6,691.0,,941.0,,1553.0,629.0,24.8,58.7,1.8089,2004-01
2004-01-08,4:00:00,0.6,936.0,,4.0,713.0,21.0,883.0,26.0,1584.0,723.0,23.5,63.6,1.8223,2004-01
2004-01-08,5:00:00,0.4,845.0,,2.6,625.0,17.0,993.0,21.0,1513.0,646.0,24.3,59.4,1.7838,2004-01
2004-01-08,6:00:00,0.4,872.0,,2.6,627.0,24.0,997.0,30.0,1530.0,670.0,23.3,62.0,1.7547,2004-01
2004-01-08,7:00:00,0.4,903.0,,2.9,648.0,19.0,975.0,21.0,1559.0,603.0,24.1,63.1,1.8619,2004-01
2004-01-08,8:00:00,0.8,971.0,,4.2,722.0,39.0,876.0,35.0,1624.0,687.0,25.0,60.7,1.892,2004-01
2004-01-08,9:00:00,0.8,1006.0,,5.5,789.0,46.0,824.0,36.0,1657.0,733.0,27.3,52.4,1.8707,2004-01
2004-01-08,10:00:00,0.9,1012.0,,5.8,804.0,53.0,832.0,48.0,1638.0,766.0,32.4,37.3,1.7808,2004-01
2004-01-08,11:00:00,0.7,975.0,,4.5,737.0,32.0,896.0,39.0,1531.0,621.0,35.4,31.3,1.7736,2004-01
2004-01-08,12:00:00,0.6,944.0,,4.3,730.0,30.0,933.0,34.0,1495.0,560.0,37.4,28.2,1.7808,2004-01
2004-01-08,13:00:00,0.5,857.0,,3.5,685.0,24.0,1055.0,33.0,1331.0,451.0,39.2,20.2,1.4104,2004-01
2004-01-08,14:00:00,0.6,824.0,,3.5,683.0,34.0,1119.0,42.0,1270.0,393.0,38.1,18.5,1.2141,2004-01
2004-01-08,15:00:00,0.7,868.0,,3.9,707.0,63.0,1063.0,85.0,1325.0,417.0,40.2,17.7,1.2989,2004-01
2004-01-08,16:00:00,0.9,908.0,,4.7,748.0,69.0,1020.0,92.0,1373.0,451.0,39.7,19.1,1.3646,2004-01
2004-01-08,17:00:00,0.9,912.0,,5.3,776.0,61.0,991.0,84.0,1379.0,461.0,38.5,19.8,1.326,2004-01
2004-01-08,18:00:00,1.2,986.0,,6.4,830.0,73.0,906.0,100.0,1482.0,536.0,36.6,24.6,1.4872,2004-01
2004-01-08,19:00:00,1.4,1037.0,,8.0,900.0,75.0,817.0,95.0,1584.0,619.0,33.1,32.7,1.62,2004-01
2004-01-08,20:00:00,1.5,1088.0,,9.2,948.0,69.0,743.0,77.0,1667.0,766.0,30.7,38.7,1.678,2004-01
