Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year_month
2004-03-04,0:00:00,1.6,1254.0,139.0,9.0,941.0,98.0,828.0,106.0,1566.0,1270.0,17.1,51.8,0.999,2004-03
2004-03-04,1:00:00,1.3,1141.0,98.0,6.3,827.0,73.0,936.0,88.0,1488.0,1110.0,16.2,54.2,0.9933,2004-03
2004-03-04,2:00:00,1.2,1141.0,88.0,5.3,777.0,69.0,986.0,83.0,1455.0,1060.0,15.1,58.2,0.9886,2004-03
2004-03-04,3:00:00,0.9,1042.0,66.0,3.8,697.0,,1056.0,,1410.0,965.0,15.1,57.6,0.9796,2004-03
2004-03-04,4:00:00,0.8,986.0,57.0,3.0,651.0,60.0,1145.0,74.0,1380.0,891.0,14.5,58.0,0.9488,2004-03
2004-03-04,5:00:00,0.8,1005.0,57.0,3.3,673.0,56.0,1103.0,64.0,1387.0,905.0,13.7,61.6,0.9631,2004-03
2004-03-04,6:00:00,0.9,1041.0,60.0,3.5,683.0,73.0,1112.0,69.0,1398.0,899.0,13.9,59.6,0.9408,2004-03
2004-03-04,7:00:00,2.0,1272.0,200.0,9.5,959.0,159.0,846.0,91.0,1660.0,1136.0,13.3,61.7,0.9399,2004-03
2004-03-04,8:00:00,3.0,1436.0,451.0,15.2,1154.0,203.0,704.0,96.0,1872.0,1391.0,15.1,55.8,0.9486,2004-03
2004-03-04,9:00:00,3.1,1472.0,422.0,14.3,1126.0,211.0,720.0,106.0,1816.0,1460.0,17.0,50.5,0.9684,2004-03
2004-03-04,10:00:00,,1418.0,,11.2,1023.0,,785.0,,1720.0,1410.0,19.7,43.3,0.9837,2004-03
2004-03-04,11:00:00,,1410.0,,11.4,1030.0,,781.0,,1743.0,1372.0,20.7,41.7,1.0092,2004-03
2004-03-04,12:00:00,,1438.0,,13.4,1096.0,,781.0,,1779.0,1266.0,23.3,35.8,1.0098,2004-03
2004-03-04,13:00:00,,1278.0,,10.6,1000.0,,866.0,,1621.0,1014.0,23.8,30.5,0.8897,2004-03
2004-03-04,14:00:00,,1257.0,,10.8,1006.0,,915.0,,1573.0,870.0,24.8,27.0,0.8325,2004-03
2004-03-04,15:00:00,,1331.0,,11.9,1046.0,,882.0,,1635.0,905.0,25.0,27.5,0.8575,2004-03
2004-03-04,16:00:00,,1361.0,,13.5,1102.0,,834.0,,1704.0,991.0,25.8,26.5,0.8675,2004-03
2004-03-04,17:00:00,,1398.0,,15.2,1156.0,,812.0,,1722.0,1076.0,25.1,27.1,0.8496,2004-03
2004-03-04,18:00:00,,1483.0,,17.1,1213.0,,764.0,,1798.0,1249.0,23.7,28.6,0.8273,2004-03
2004-03-04,19:00:00,,1697.0,,26.7,1471.0,,625.0,,2153.0,1548.0,22.1,36.8,0.9681,2004-03
2004-03-04,20:00:00,,1459.0,,14.2,1124.0,,736.0,,1823.0,1300.0,19.9,47.5,1.0912,2004-03
2004-03-04,21:00:00,,1268.0,,8.5,918.0,,873.0,,1602.0,1029.0,18.7,50.4,1.0772,2004-03
2004-03-04,22:00:00,,1469,,14.3,1128,,762,,1870,1207,18.1,51.3,1.0587,2004-03
2004-03-04,23:00:00,,1316,,9.3,952,,847,,1644,1047,17.5,53.8,1.0648,2004-03
2004-03-05,0:00:00,1.6,1031,,7.1,861,97.0,903,94.0,1534,825,18.0,49.3,1.0086,2004-03
2004-03-05,1:00:00,0.8,917,,3.0,654,37.0,1169,52.0,1414,545,17.6,54.6,1.0918,2004-03
2004-03-05,2:00:00,0.6,888,,2.2,598,26.0,1228,39.0,1397,500,16.4,62.1,1.1493,2004-03
2004-03-05,3:00:00,0.4,872,,1.7,564,,1284,,1385,494,15.6,65.3,1.1484,2004-03
2004-03-05,4:00:00,,876,,1.5,547,25.0,1256,33.0,1351,505,16.0,61.4,1.1043,2004-03
2004-03-05,5:00:00,0.7,964,,3.7,697,61.0,1067,57.0,1516,717,15.8,64.3,1.1416,2004-03
2004-03-05,6:00:00,1.3,1147,,8.2,906,152.0,815,80.0,1687,1126,16.0,65.8,1.1844,2004-03
2004-03-05,7:00:00,3.4,1493,,21.1,1328,283.0,577,101.0,2193,1597,16.8,62.5,1.1869,2004-03
2004-03-05,8:00:00,4.7,1597,,26.5,1466,320.0,518,109.0,2400,1687,16.9,66.1,1.2613,2004-03
2004-03-05,9:00:00,3.4,1483,,17.4,1222,318.0,597,109.0,2054,1529,17.4,68.9,1.3557,2004-03
2004-03-05,10:00:00,2.5,1222,,12.9,1080,201.0,742,111.0,1755,1366,21.4,45.0,1.1291,2004-03
2004-03-05,11:00:00,2.0,1060,,10.9,1010,135.0,858,102.0,1623,1074,23.9,30.7,0.9002,2004-03
2004-03-05,12:00:00,1.9,1048,,11.0,1013,127.0,886,96.0,1584,940,26.8,25.2,0.8721,2004-03
2004-03-05,13:00:00,1.7,1051,,10.8,1008,102.0,911,90.0,1561,921,28.4,23.6,0.8983,2004-03
2004-03-05,14:00:00,1.4,998,,10.0,977,74.0,947,69.0,1496,695,30.3,20.1,0.8539,2004-03
2004-03-05,15:00:00,1.5,1058,,11.2,1023,81.0,896,74.0,1580,795,30.9,19.7,0.8649,2004-03
2004-03-05,16:00:00,2.4,1203,,16.8,1204,129.0,790,102.0,1744,1079,30.2,20.5,0.8672,2004-03
2004-03-05,17:00:00,3.9,1491,,23.6,1392,190.0,630,128.0,2149,1473,26.4,34.6,1.1724,2004-03
2004-03-05,18:00:00,4.2,1467,,23.3,1385,192.0,623,130.0,2084,1493,24.9,39.4,1.2268,2004-03
2004-03-05,19:00:00,3.7,1407,,19.4,1279,163.0,660,120.0,2009,1308,23.5,43.7,1.2484,2004-03
2004-03-05,20:00:00,3.2,1324,,13.1,1086,149.0,692,113.0,1903,1189,19.3,63.1,1.4028,2004-03
2004-03-05,21:00:00,2.0,1214,,9.8,970,119.0,777,100.0,1771,1076,18.7,64.6,1.3836,2004-03
2004-03-05,22:00:00,1.1,1016,,5.3,780,61.0,967,70.0,1566,806,19.5,57.1,1.2806,2004-03
2004-03-05,23:00:00,1.5,1135,,6.7,842,84.0,872,83.0,1653,973,18.9,62.5,1.3521,2004-03
2004-03-04,0:00:00,1.6,1254.0,139.0,9.0,941.0,98.0,828.0,106.0,1566.0,1270.0,17.1,51.8,0.999,2004-03
2004-03-04,1:00:00,1.3,1141.0,98.0,6.3,827.0,73.0,936.0,88.0,1488.0,1110.0,16.2,54.2,0.9933,2004-03
2004-03-04,2:00:00,1.2,1141.0,88.0,5.3,777.0,69.0,986.0,83.0,1455.0,1060.0,15.1,58.2,0.9886,2004-03
2004-03-04,3:00:00,0.9,1042.0,66.0,3.8,697.0,,1056.0,,1410.0,965.0,15.1,57.6,0.9796,2004-03
2004-03-04,4:00:00,0.8,986.0,57.0,3.0,651.0,60.0,1145.0,74.0,1380.0,891.0,14.5,58.0,0.9488,2004-03
2004-03-04,5:00:00,0.8,1005.0,57.0,3.3,673.0,56.0,1103.0,64.0,1387.0,905.0,13.7,61.6,0.9631,2004-03
2004-03-04,6:00:00,0.9,1041.0,60.0,3.5,683.0,73.0,1112.0,69.0,1398.0,899.0,13.9,59.6,0.9408,2004-03
2004-03-04,7:00:00,2.0,1272.0,200.0,9.5,959.0,159.0,846.0,91.0,1660.0,1136.0,13.3,61.7,0.9399,2004-03
2004-03-04,8:00:00,3.0,1436.0,451.0,15.2,1154.0,203.0,704.0,96.0,1872.0,1391.0,15.1,55.8,0.9486,2004-03
2004-03-04,9:00:00,3.1,1472.0,422.0,14.3,1126.0,211.0,720.0,106.0,1816.0,1460.0,17.0,50.5,0.9684,2004-03
2004-03-04,10:00:00,,1418.0,,11.2,1023.0,,785.0,,1720.0,1410.0,19.7,43.3,0.9837,2004-03
2004-03-04,11:00:00,,1410.0,,11.4,1030.0,,781.0,,1743.0,1372.0,20.7,41.7,1.0092,2004-03
2004-03-04,12:00:00,,1438.0,,13.4,1096.0,,781.0,,1779.0,1266.0,23.3,35.8,1.0098,2004-03
2004-03-04,13:00:00,,1278.0,,10.6,1000.0,,866.0,,1621.0,1014.0,23.8,30.5,0.8897,2004-03
2004-03-04,14:00:00,,1257.0,,10.8,1006.0,,915.0,,1573.0,870.0,24.8,27.0,0.8325,2004-03
2004-03-04,15:00:00,,1331.0,,11.9,1046.0,,882.0,,1635.0,905.0,25.0,27.5,0.8575,2004-03
2004-03-04,16:00:00,,1361.0,,13.5,1102.0,,834.0,,1704.0,991.0,25.8,26.5,0.8675,2004-03
2004-03-04,17:00:00,,1398.0,,15.2,1156.0,,812.0,,1722.0,1076.0,25.1,27.1,0.8496,2004-03
2004-03-04,18:00:00,,1483.0,,17.1,1213.0,,764.0,,1798.0,1249.0,23.7,28.6,0.8273,2004-03
2004-03-04,19:00:00,,1697.0,,26.7,1471.0,,625.0,,2153.0,1548.0,22.1,36.8,0.9681,2004-03
2004-03-04,20:00:00,,1459.0,,14.2,1124.0,,736.0,,1823.0,1300.0,19.9,47.5,1.0912,2004-03
2004-03-04,21:00:00,,1268.0,,8.5,918.0,,873.0,,1602.0,1029.0,18.7,50.4,1.0772,2004-03
2004-03-04,22:00:00,,1469,,14.3,1128,,762,,1870,1207,18.1,51.3,1.0587,2004-03
2004-03-04,23:00:00,,1316,,9.3,952,,847,,1644,1047,17.5,53.8,1.0648,2004-03
2004-03-05,0:00:00,1.6,1031,,7.1,861,97.0,903,94.0,1534,825,18.0,49.3,1.0086,2004-03
2004-03-05,1:00:00,0.8,917,,3.0,654,37.0,1169,52.0,1414,545,17.6,54.6,1.0918,2004-03
2004-03-05,2:00:00,0.6,888,,2.2,598,26.0,1228,39.0,1397,500,16.4,62.1,1.1493,2004-03
2004-03-05,3:00:00,0.4,872,,1.7,564,,1284,,1385,494,15.6,65.3,1.1484,2004-03
2004-03-05,4:00:00,,876,,1.5,547,25.0,1256,33.0,1351,505,16.0,61.4,1.1043,2004-03
2004-03-05,5:00:00,0.7,964,,3.7,697,61.0,1067,57.0,1516,717,15.8,64.3,1.1416,2004-03
2004-03-05,6:00:00,1.3,1147,,8.2,906,152.0,815,80.0,1687,1126,16.0,65.8,1.1844,2004-03
2004-03-05,7:00:00,3.4,1493,,21.1,1328,283.0,577,101.0,2193,1597,16.8,62.5,1.1869,2004-03
2004-03-05,8:00:00,4.7,1597,,26.5,1466,320.0,518,109.0,2400,1687,16.9,66.1,1.2613,2004-03
2004-03-05,9:00:00,3.4,1483,,17.4,1222,318.0,597,109.0,2054,1529,17.4,68.9,1.3557,2004-03
2004-03-05,10:00:00,2.5,1222,,12.9,1080,201.0,742,111.0,1755,1366,21.4,45.0,1.1291,2004-03
2004-03-05,11:00:00,2.0,1060,,10.9,1010,135.0,858,102.0,1623,1074,23.9,30.7,0.9002,2004-03
2004-03-05,12:00:00,1.9,1048,,11.0,1013,127.0,886,96.0,1584,940,26.8,25.2,0.8721,2004-03
2004-03-05,13:00:00,1.7,1051,,10.8,1008,102.0,911,90.0,1561,921,28.4,23.6,0.8983,2004-03
2004-03-05,14:00:00,1.4,998,,10.0,977,74.0,947,69.0,1496,695,30.3,20.1,0.8539,2004-03
2004-03-05,15:00:00,1.5,1058,,11.2,1023,81.0,896,74.0,1580,795,30.9,19.7,0.8649,2004-03
2004-03-05,16:00:00,2.4,1203,,16.8,1204,129.0,790,102.0,1744,1079,30.2,20.5,0.8672,2004-03
