Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year_month
2004-09-04,0:00:00,2.4,,189,,,154.0,,109.0,,,,,,2004-09
2004-09-04,1:00:00,1.8,,159,,,118.0,,97.0,,,,,,2004-09
2004-09-04,2:00:00,1.0,,80,,,69.0,,83.0,,,,,,2004-09
2004-09-04,3:00:00,1.0,,66,,,,,,,,,,,2004-09
2004-09-04,4:00:00,1.0,,87,,,97.0,,79.0,,,,,,2004-09
2004-09-04,5:00:00,0.9,,79,,,145.0,,84.0,,,,,,2004-09
2004-09-04,6:00:00,1.5,,150,,,169.0,,86.0,,,,,,2004-09
2004-09-04,7:00:00,2.6,,196,,,250.0,,111.0,,,,,,2004-09
2004-09-04,8:00:00,2.9,,299,,,215.0,,117.0,,,,,,2004-09
2004-09-04,9:00:00,2.7,,254,,,237.0,,122.0,,,,,,2004-09
2004-09-04,10:00:00,2.4,,226,,,190.0,,119.0,,,,,,2004-09
2004-09-04,11:00:00,2.6,,262,,,219.0,,121.0,,,,,,2004-09
2004-09-04,12:00:00,4.1,,505,,,294.0,,127.0,,,,,,2004-09
2004-09-04,13:00:00,4.3,,512,,,253.0,,135.0,,,,,,2004-09
2004-09-04,14:00:00,2.2,,159,,,176.0,,119.0,,,,,,2004-09
2004-09-04,15:00:00,3.4,,337,,,243.0,,137.0,,,,,,2004-09
2004-09-04,16:00:00,3.6,,357,,,214.0,,139.0,,,,,,2004-09
2004-09-04,17:00:00,2.5,,194,,,141.0,,117.0,,,,,,2004-09
2004-09-04,18:00:00,2.8,,278,,,166.0,,127.0,,,,,,2004-09
2004-09-04,19:00:00,3.4,,303,,,197.0,,137.0,,,,,,2004-09
2004-09-04,20:00:00,3.0,,234,,,191.0,,127.0,,,,,,2004-09
2004-09-04,21:00:00,2.1,,128,,,159.0,,107.0,,,,,,2004-09
2004-09-04,22:00:00,2.4,,160,,,175.0,,102.0,,,,,,2004-09
2004-09-04,23:00:00,2.3,1176.0,169,8.4,917.0,157.0,866.0,95.0,1560.0,1151.0,12.0,67.9,0.9523,2004-09
2004-09-05,0:00:00,,1063,,7.1,859,,952,,1519,949,13.7,60.3,0.9405,2004-09
2004-09-05,1:00:00,,1068,,9.0,938,,862,,1575,1057,12.7,64.9,0.9506,2004-09
