Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year_month
2005-06-01,0:00:00,1.6,1056.0,,5.6,795.0,203.0,783.0,115.0,1187.0,896.0,12.5,63.7,0.9196,2005-06
2005-06-01,1:00:00,1.7,1064.0,,5.4,785.0,210.0,769.0,116.0,1184.0,946.0,12.3,64.6,0.9229,2005-06
2005-06-01,2:00:00,1.6,1059.0,,5.4,783.0,198.0,781.0,112.0,1188.0,877.0,12.5,63.8,0.9244,2005-06
2005-06-01,3:00:00,1.4,991.0,,3.5,681.0,,874.0,,1125.0,718.0,12.6,62.7,0.9121,2005-06
2005-06-01,4:00:00,,950.0,,2.5,622.0,89.0,960.0,67.0,1093.0,643.0,12.0,64.6,0.906,2005-06
2005-06-01,5:00:00,0.9,1005.0,,3.4,679.0,89.0,875.0,67.0,1120.0,745.0,10.7,69.5,0.8919,2005-06
2005-06-01,6:00:00,0.8,939.0,,1.8,568.0,101.0,1037.0,72.0,1054.0,656.0,12.4,62.6,0.8994,2005-06
2005-06-01,7:00:00,0.7,961.0,,2.6,629.0,104.0,1011.0,69.0,1114.0,682.0,12.3,62.7,0.8947,2005-06
2005-06-01,8:00:00,1.1,1017.0,,4.0,712.0,192.0,827.0,107.0,1147.0,829.0,11.4,66.6,0.8948,2005-06
2005-06-01,9:00:00,1.5,1108.0,,6.2,823.0,237.0,720.0,117.0,1247.0,961.0,11.1,70.2,0.9276,2005-06
2005-06-01,10:00:00,1.5,1122.0,,5.8,803.0,211.0,733.0,115.0,1225.0,960.0,13.4,61.0,0.9348,2005-06
2005-06-01,11:00:00,1.6,1099.0,,6.3,826.0,230.0,739.0,120.0,1223.0,940.0,15.9,52.2,0.9377,2005-06
2005-06-01,12:00:00,1.6,1124.0,,5.9,805.0,240.0,726.0,128.0,1233.0,938.0,15.6,54.0,0.9515,2005-06
2005-06-01,13:00:00,2.0,1186.0,,8.5,921.0,295.0,660.0,138.0,1310.0,1040.0,16.3,51.5,0.9462,2005-06
2005-06-01,14:00:00,1.7,1096.0,,6.2,819.0,243.0,733.0,127.0,1238.0,904.0,16.5,50.8,0.9442,2005-06
2005-06-01,15:00:00,1.5,1120.0,,6.4,829.0,196.0,725.0,111.0,1259.0,910.0,16.3,51.9,0.9535,2005-06
2005-06-01,16:00:00,2.0,1185.0,,7.9,893.0,237.0,666.0,122.0,1312.0,1011.0,16.2,53.0,0.9687,2005-06
2005-06-01,17:00:00,1.9,1173.0,,7.7,885.0,274.0,685.0,134.0,1288.0,1038.0,15.6,54.8,0.966,2005-06
2005-06-01,18:00:00,2.1,1221.0,,8.9,935.0,352.0,642.0,153.0,1323.0,1144.0,14.5,57.5,0.944,2005-06
2005-06-01,19:00:00,2.8,1330.0,,12.4,1063.0,488.0,578.0,169.0,1419.0,1352.0,14.0,60.1,0.9566,2005-06
2005-06-01,20:00:00,2.7,1325.0,,11.3,1027.0,426.0,591.0,162.0,1394.0,1365.0,13.5,63.0,0.9686,2005-06
2005-06-01,21:00:00,2.4,1195.0,,8.4,915.0,376.0,666.0,152.0,1295.0,1245.0,12.6,65.4,0.9529,2005-06
2005-06-01,22:00:00,1.6,1150.0,,7.3,869.0,237.0,694.0,127.0,1252.0,1203.0,12.0,67.5,0.9413,2005-06
2005-06-01,23:00:00,1.7,1145.0,,5.9,806.0,199.0,736.0,112.0,1207.0,1120.0,10.5,72.0,0.912,2005-06
2005-06-02,0:00:00,1.8,963,,4.7,749,251.0,900,173.0,834,869,4.0,39.2,0.3228,2005-06
2005-06-02,1:00:00,1.4,962,,4.9,756,255.0,902,176.0,843,908,3.7,40.1,0.323,2005-06
2005-06-02,2:00:00,1.4,980,,5.0,761,235.0,854,172.0,876,1051,3.1,47.1,0.3638,2005-06
