Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year_month
2005-02-01,0:00:00,1.8,1078.0,,5.2,775.0,230.0,809.0,112.0,1012.0,1195.0,4.7,62.9,0.5424,2005-02
2005-02-01,1:00:00,1.6,1043.0,,4.3,726.0,195.0,875.0,105.0,972.0,1107.0,4.5,63.5,0.5411,2005-02
2005-02-01,2:00:00,1.3,992.0,,3.6,685.0,167.0,916.0,96.0,963.0,1035.0,4.5,63.6,0.5414,2005-02
2005-02-01,3:00:00,1.3,1004.0,,4.5,739.0,,868.0,,1004.0,1030.0,3.1,70.0,0.5388,2005-02
2005-02-01,4:00:00,1.3,947.0,,3.3,673.0,148.0,929.0,87.0,974.0,929.0,3.2,68.3,0.531,2005-02
2005-02-01,5:00:00,1.1,923.0,,2.7,634.0,123.0,984.0,75.0,943.0,875.0,3.1,69.2,0.5337,2005-02
2005-02-01,6:00:00,1.0,911.0,,2.4,613.0,148.0,992.0,82.0,934.0,861.0,2.4,71.9,0.5288,2005-02
2005-02-01,7:00:00,1.0,924.0,,2.6,629.0,143.0,994.0,83.0,941.0,852.0,3.1,68.7,0.5317,2005-02
2005-02-01,8:00:00,1.2,954.0,,3.4,674.0,180.0,940.0,88.0,981.0,891.0,2.1,73.1,0.5289,2005-02
2005-02-01,9:00:00,1.3,960.0,,3.9,704.0,226.0,887.0,106.0,1003.0,947.0,3.3,68.2,0.5346,2005-02
2005-02-01,10:00:00,1.6,1016.0,,4.9,760.0,254.0,835.0,112.0,1044.0,1016.0,4.1,65.8,0.5451,2005-02
2005-02-01,11:00:00,2.2,1139.0,,7.5,879.0,372.0,753.0,141.0,1092.0,1201.0,6.6,56.6,0.5528,2005-02
2005-02-01,12:00:00,2.2,1130.0,,7.1,860.0,379.0,752.0,148.0,1058.0,1218.0,8.0,51.2,0.5516,2005-02
2005-02-01,13:00:00,2.8,1237.0,,9.6,962.0,478.0,685.0,171.0,1138.0,1385.0,10.3,44.9,0.5612,2005-02
2005-02-01,14:00:00,2.1,1159.0,,6.5,837.0,344.0,742.0,160.0,1087.0,1311.0,12.3,41.7,0.5961,2005-02
2005-02-01,15:00:00,1.6,1124.0,,5.5,790.0,258.0,791.0,137.0,1071.0,1206.0,13.5,41.3,0.6342,2005-02
2005-02-01,16:00:00,2.8,1312.0,,10.5,998.0,474.0,640.0,167.0,1249.0,1473.0,13.4,43.1,0.66,2005-02
