Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year_month
2004-07-04,0:00:00,0.9,948,93.0,4.0,710,56.0,1127,67.0,1352,575,15.7,45.9,0.8121,2004-07
2004-07-04,1:00:00,0.7,889,49.0,2.3,603,35.0,1308,46.0,1271,455,15.6,44.9,0.792,2004-07
2004-07-04,2:00:00,0.4,830,30.0,1.4,538,21.0,1475,30.0,1214,392,15.6,44.4,0.7827,2004-07
2004-07-04,3:00:00,0.3,801,30.0,0.7,464,,1749,,1154,340,16.1,42.4,0.7718,2004-07
2004-07-04,4:00:00,0.3,804,30.0,0.7,468,12.0,1826,19.0,1166,320,15.7,45.4,0.8063,2004-07
2004-07-04,5:00:00,0.3,824,32.0,0.8,478,22.0,1705,32.0,1200,331,15.3,50.1,0.8617,2004-07
2004-07-04,6:00:00,0.8,1000,59.0,3.6,688,55.0,1257,61.0,1398,426,14.2,58.6,0.9443,2004-07
2004-07-04,7:00:00,2.8,1307,277.0,12.9,1082,152.0,777,111.0,1769,830,14.3,58.2,0.9431,2004-07
2004-07-04,8:00:00,3.1,1286,454.0,15.7,1171,153.0,716,102.0,1821,1006,15.0,52.0,0.8817,2004-07
2004-07-04,9:00:00,2.3,1150,211.0,8.6,925,152.0,865,116.0,1576,820,13.6,61.4,0.9519,2004-07
2004-07-04,10:00:00,1.6,1087,196.0,7.4,876,112.0,911,96.0,1554,737,16.1,53.1,0.9675,2004-07
2004-07-04,11:00:00,1.5,1016,110.0,6.6,839,119.0,991,97.0,1448,790,16.6,44.3,0.8294,2004-07
2004-07-04,12:00:00,1.6,1029,164.0,7.8,892,122.0,937,110.0,1474,760,17.4,40.3,0.7922,2004-07
2004-07-04,13:00:00,1.8,1109,151.0,9.1,943,115.0,883,103.0,1604,767,18.1,42.2,0.8679,2004-07
2004-07-04,14:00:00,1.4,997,112.0,6.1,817,84.0,1030,79.0,1426,626,14.4,51.8,0.8433,2004-07
2004-07-04,15:00:00,1.9,1177,117.0,7.5,880,146.0,927,104.0,1552,776,10.9,76.4,0.9953,2004-07
2004-07-04,16:00:00,1.2,1045,120.0,5.9,808,65.0,1038,69.0,1421,589,16.4,47.7,0.8819,2004-07
2004-07-04,17:00:00,2.3,1171,251.0,12.7,1073,120.0,847,96.0,1623,872,18.0,37.1,0.7598,2004-07
2004-07-04,18:00:00,3.3,1221,435.0,13.5,1101,185.0,799,121.0,1700,996,14.7,48.7,0.8089,2004-07
2004-07-04,19:00:00,3.1,1262,345.0,14.5,1133,157.0,774,129.0,1748,1033,11.3,71.3,0.9514,2004-07
2004-07-04,20:00:00,3.3,1207,343.0,11.0,1013,174.0,876,116.0,1632,982,10.0,74.0,0.9087,2004-07
2004-07-04,21:00:00,1.2,956,62.0,3.2,666,62.0,1235,71.0,1282,518,9.8,71.8,0.8702,2004-07
2004-07-04,22:00:00,1.3,1020,70.0,4.3,727,81.0,1153,85.0,1391,631,9.3,75.2,0.8796,2004-07
2004-07-04,23:00:00,1.9,1107,114.0,7.1,861,118.0,957,101.0,1510,879,9.6,76.0,0.9088,2004-07
2004-07-05,0:00:00,2.3,1059,,8.2,907,145.0,879,102.0,1579,970,13.8,64.7,1.0168,2004-07
2004-07-05,1:00:00,2.0,1023,,7.5,878,106.0,896,91.0,1568,969,13.5,67.8,1.042,2004-07
2004-07-05,2:00:00,0.9,855,,3.3,669,46.0,1160,56.0,1427,671,13.7,69.4,1.0794,2004-07
2004-07-05,3:00:00,0.6,826,,2.4,616,,1227,,1384,575,13.9,67.7,1.0712,2004-07
2004-07-05,4:00:00,,831,,2.2,602,32.0,1269,41.0,1386,535,14.0,67.8,1.0787,2004-07
2004-07-05,5:00:00,0.7,817,,2.8,639,51.0,1260,48.0,1364,489,14.6,61.1,1.0075,2004-07
2004-07-05,6:00:00,1.5,972,,7.5,880,89.0,964,72.0,1590,689,14.3,60.5,0.9847,2004-07
2004-07-05,7:00:00,3.7,1200,,19.8,1290,214.0,657,106.0,2014,1196,14.9,56.9,0.9582,2004-07
2004-07-05,8:00:00,4.2,1234,,22.1,1355,196.0,621,107.0,2095,1266,16.4,50.2,0.9286,2004-07
2004-07-05,9:00:00,3.4,1164,,15.0,1148,224.0,741,127.0,1824,1130,16.0,50.9,0.9211,2004-07
2004-07-05,10:00:00,2.4,976,,9.3,952,174.0,878,114.0,1582,834,18.6,42.8,0.9091,2004-07
2004-07-05,11:00:00,1.3,844,,6.3,825,90.0,1027,101.0,1405,536,19.7,33.7,0.7646,2004-07
2004-07-05,12:00:00,1.5,851,,8.2,906,89.0,989,95.0,1418,545,21.2,27.7,0.6864,2004-07
2004-07-05,13:00:00,2.2,926,,10.9,1010,132.0,904,110.0,1526,720,19.7,28.5,0.6445,2004-07
2004-07-05,14:00:00,1.8,890,,9.3,950,114.0,940,101.0,1460,655,19.8,29.7,0.678,2004-07
2004-07-05,15:00:00,1.9,921,,8.4,914,107.0,937,106.0,1481,614,19.2,35.6,0.7856,2004-07
2004-07-05,16:00:00,2.3,1052,,9.4,956,140.0,869,116.0,1600,725,14.2,60.5,0.9765,2004-07
